** CONVERTED FROM S2.edf using edfapi 4.2.1197.0 Linux   standalone Sep 27 2024 on Sun Feb 15 14:23:17 2026
** DATE: Thu Jan  1 01:15:21 2009
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BH7
** SERIAL NUMBER: CLO-ZAC14
** CAMERA_CONFIG: ZAC14140.SCD
** anti-saccade task by Matteo Lisi
**

MSG	4230932 BEGIN OF DESCRIPTIONS
MSG	4230932 Subject code: S2
MSG	4230932 END OF DESCRIPTIONS
INPUT	4232647	127
MSG	4232807 TRIALID 1
MSG	4232813 RECCFG CR 1000 1 1 L
MSG	4232813 ELCLCFG MTABLER
MSG	4232813 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	4232813 THRESHOLDS L 78 219
MSG	4232813 ELCL_PROC CENTROID (3)
MSG	4232813 ELCL_PCR_PARAM 5 3.0
MSG	4232814 !MODE RECORD CR 1000 1 1 L
START	4232815 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
4233141	  240.8	  510.1	  601.0	...
4233142	  243.2	  509.2	  597.0	...
4233143	  242.8	  509.2	  597.0	...
4233144	  242.7	  509.8	  597.0	...
4233145	  240.2	  509.8	  593.0	...
4233146	  240.2	  509.9	  593.0	...
4233147	  241.1	  512.1	  596.0	...
4233148	  240.8	  512.1	  598.0	...
4233149	  240.8	  512.1	  600.0	...
4233150	  243.6	  512.5	  597.0	...
4233151	  244.6	  512.9	  597.0	...
4233152	  244.8	  512.2	  609.0	...
4233153	  244.8	  512.2	  609.0	...
4233154	  244.5	  516.4	  603.0	...
4233155	  244.5	  516.4	  602.0	...
4233156	  246.3	  512.1	  603.0	...
4233157	  246.3	  512.1	  603.0	...
4233158	  246.1	  513.2	  603.0	...
4233159	  244.9	  515.8	  604.0	...
4233160	  244.9	  515.8	  605.0	...
4233161	  248.6	  513.0	  605.0	...
4233162	  248.6	  513.0	  605.0	...
4233163	  246.4	  515.7	  605.0	...
4233164	  246.1	  517.1	  606.0	...
4233165	  246.7	  516.5	  606.0	...
4233166	  246.6	  516.8	  609.0	...
4233167	  244.5	  516.7	  611.0	...
4233168	  244.5	  516.7	  611.0	...
4233169	  244.5	  516.7	  607.0	...
4233170	  244.5	  516.7	  607.0	...
4233171	  244.2	  515.3	  606.0	...
4233172	  244.3	  514.9	  606.0	...
4233173	  244.4	  514.5	  606.0	...
4233174	  242.8	  511.5	  601.0	...
4233175	  242.8	  511.5	  601.0	...
4233176	  242.8	  514.6	  602.0	...
4233177	  242.9	  513.2	  602.0	...
4233178	  243.1	  511.9	  602.0	...
4233179	  243.1	  511.9	  614.0	...
4233180	  247.1	  512.9	  614.0	...
4233181	  247.0	  513.9	  607.0	...
4233182	  247.4	  513.7	  605.0	...
4233183	  247.4	  513.6	  603.0	...
4233184	  242.7	  513.5	  603.0	...
4233185	  242.8	  513.0	  603.0	...
4233186	  242.9	  513.0	  605.0	...
4233187	  243.0	  513.0	  605.0	...
EFIX L   4232915	4233187	273	  240.5	  511.1	    591
SSACC L  4233188
4233188	  243.1	  513.0	  602.0	...
4233189	  243.9	  512.9	  604.0	...
4233190	  243.9	  512.7	  604.0	...
4233191	  244.4	  512.6	  602.0	...
4233192	  244.4	  512.6	  602.0	...
4233193	  245.1	  512.6	  602.0	...
4233194	  246.4	  509.9	  602.0	...
4233195	  250.8	  510.0	  602.0	...
4233196	  263.5	  510.2	  610.0	...
4233197	  270.4	  515.0	  615.0	...
4233198	  285.7	  515.1	  613.0	...
4233199	  305.7	  515.5	  613.0	...
4233200	  330.9	  520.6	  624.0	...
4233201	  353.6	  521.2	  624.0	...
4233202	  388.6	  524.0	  642.0	...
4233203	  417.7	  526.7	  642.0	...
4233204	  452.3	  536.3	  651.0	...
4233205	  479.8	  537.3	  662.0	...
4233206	  518.1	  540.1	  665.0	...
4233207	  546.9	  542.6	  668.0	...
4233208	  582.8	  549.6	  679.0	...
4233209	  609.5	  551.1	  680.0	...
4233210	  636.5	  552.6	  682.0	...
4233211	  660.0	  550.5	  681.0	...
4233212	  682.4	  551.1	  681.0	...
4233213	  703.0	  551.4	  682.0	...
4233214	  718.9	  549.6	  682.0	...
4233215	  747.5	  548.7	  685.0	...
4233216	  763.6	  542.6	  687.0	...
4233217	  784.3	  541.0	  687.0	...
4233218	  799.1	  535.4	  686.0	...
4233219	  818.3	  536.8	  687.0	...
4233220	  830.7	  536.6	  687.0	...
4233221	  852.3	  535.6	  678.0	...
4233222	  865.5	  536.6	  679.0	...
4233223	  889.9	  543.8	  679.0	...
4233224	  906.5	  544.0	  681.0	...
4233225	  922.9	  545.3	  683.0	...
4233226	  935.7	  547.2	  682.0	...
4233227	  956.0	  549.7	  682.0	...
4233228	  972.0	  557.1	  682.0	...
4233229	  986.2	  558.2	  681.0	...
4233230	 1003.2	  558.8	  678.0	...
4233231	 1018.6	  560.1	  678.0	...
4233232	 1026.5	  561.3	  678.0	...
4233233	 1040.5	  562.9	  678.0	...
4233234	 1047.6	  563.4	  678.0	...
4233235	 1050.9	  563.6	  682.0	...
4233236	 1052.0	  569.8	  682.0	...
4233237	 1050.8	  570.0	  685.0	...
4233238	 1050.8	  573.5	  686.0	...
4233239	 1050.8	  573.5	  687.0	...
4233240	 1043.8	  574.9	  689.0	...
4233241	 1041.3	  575.2	  693.0	...
4233242	 1035.3	  575.6	  694.0	...
4233243	 1031.4	  575.3	  695.0	...
4233244	 1027.5	  574.1	  698.0	...
4233245	 1025.6	  571.0	  698.0	...
4233246	 1022.6	  570.5	  698.0	...
4233247	 1023.0	  567.1	  697.0	...
4233248	 1024.8	  564.2	  697.0	...
4233249	 1026.3	  564.3	  697.0	...
4233250	 1032.6	  563.9	  692.0	...
4233251	 1033.7	  564.0	  692.0	...
4233252	 1036.6	  564.3	  688.0	...
4233253	 1039.6	  564.8	  688.0	...
4233254	 1045.3	  565.5	  691.0	...
4233255	 1046.6	  567.6	  691.0	...
4233256	 1047.1	  566.9	  688.0	...
4233257	 1047.5	  566.9	  687.0	...
4233258	 1047.5	  573.1	  686.0	...
4233259	 1047.3	  575.5	  686.0	...
ESACC L  4233188	4233259	72	  243.3	  513.0	 1046.0	  575.5	  19.76	    796
SFIX L   4233260
4233260	 1043.2	  577.9	  686.0	...
4233261	 1042.8	  577.8	  686.0	...
4233262	 1040.7	  576.0	  686.0	...
4233263	 1037.5	  574.2	  678.0	...
4233264	 1037.4	  572.1	  678.0	...
4233265	 1037.0	  572.1	  678.0	...
4233266	 1033.9	  573.2	  678.0	...
4233267	 1033.8	  574.2	  679.0	...
4233268	 1032.1	  574.1	  679.0	...
4233269	 1031.5	  575.4	  678.0	...
4233270	 1031.1	  575.4	  678.0	...
4233271	 1029.4	  575.2	  677.0	...
4233272	 1028.5	  575.1	  677.0	...
4233273	 1027.3	  577.1	  676.0	...
4233274	 1026.5	  577.1	  676.0	...
4233275	 1023.4	  576.2	  672.0	...
4233276	 1023.4	  576.2	  672.0	...
4233277	 1022.9	  576.9	  672.0	...
4233278	 1022.9	  576.9	  672.0	...
4233279	 1023.0	  576.1	  672.0	...
4233280	 1023.0	  576.1	  671.0	...
4233281	 1022.7	  577.8	  671.0	...
4233282	 1022.6	  577.8	  675.0	...
4233283	 1022.8	  575.5	  675.0	...
4233284	 1022.8	  575.7	  669.0	...
4233285	 1022.9	  575.8	  669.0	...
4233286	 1023.6	  575.8	  669.0	...
4233287	 1023.5	  576.2	  669.0	...
4233288	 1023.6	  575.9	  669.0	...
4233289	 1023.0	  575.5	  669.0	...
4233290	 1023.0	  575.5	  668.0	...
4233291	 1025.2	  574.7	  667.0	...
4233292	 1025.2	  575.0	  666.0	...
4233293	 1025.2	  575.0	  666.0	...
4233294	 1025.4	  575.0	  672.0	...
4233295	 1025.3	  575.6	  672.0	...
4233296	 1025.4	  575.6	  669.0	...
4233297	 1025.8	  573.0	  667.0	...
4233298	 1025.8	  573.0	  663.0	...
4233299	 1025.5	  575.5	  663.0	...
4233300	 1024.6	  575.5	  666.0	...
4233301	 1023.7	  575.7	  666.0	...
4233302	 1023.7	  575.7	  666.0	...
4233303	 1025.3	  575.6	  666.0	...
4233304	 1025.3	  575.6	  671.0	...
4233305	 1025.3	  575.9	  671.0	...
4233306	 1025.2	  576.1	  673.0	...
4233307	 1023.8	  576.0	  673.0	...
4233308	 1023.7	  577.2	  674.0	...
